,FSCS,Location,Library Class,County,Township,Type,Millage Rate,Millage Authorization Date,Millage Rate Levied,Millage Expiration Date,Millage Voted in Perpetuity,"Millage is for Operating, Debt, or Both?",Millage Rate (2),Millage Authorization Date (2),Millage Rate Levied (2),Millage Expiration Date (2),Millage Voted in Perpetuity (2),"Millage is for Operating, Debt, or Both? (2)",Millage Rate (3),Millage Authorization Date (3),Millage Rate Levied (3),Millage Expiration Date (3),Millage Voted in Perpetuity (3),"Millage is for Operating, Debt, or Both? (3)"
134,MI0324,Stair District Library,"Class 2: Serve 4,000-6,999",Lenawee,City of Morenci,District,1.2488,8.4.2015,1.25,12.31.2024,No,Operating,,,,,,,,,,,,
135,MI0329,Suttons Bay-Bingham District Library,"Class 2: Serve 4,000-6,999",Leelanau,Suttons Bay,District,0.5,08/04/2020,0.5,12/31/2024,No,Operating,,,,,,,,,,,,
136,MI0332,Taymouth Township Library,"Class 2: Serve 4,000-6,999",Saginaw,Taymouth,Township,,,,,,,,,,,,,,,,,,
137,MI0110,Thomas E. Fleschner Memorial Library,"Class 2: Serve 4,000-6,999",Saginaw,Birch Run,Township,,,,,,,,,,,,,,,,,,
138,MI0339,Three Oaks Township Public Library,"Class 2: Serve 4,000-6,999",Berrien,Three Oaks,Township,1.5,May 2008,1.4796,Nov 2027,No,Operating,,,,,,,,,,,,
139,MI0344,Utica Public Library,"Class 2: Serve 4,000-6,999",Macomb,City of Utica,City,1.0,April 1949,0.8339,None,Yes,Operating,0.4,August 2016,0.4,August 2026,No,Operating,,,,,,
140,MI0347,Vernon District Public Library,"Class 2: Serve 4,000-6,999",Shiawassee,Vernon,Township,0.5,05/2005,0.05,none,Yes,operating,,,,,,,,,,,,
141,MI0353,Walled Lake City Library,"Class 2: Serve 4,000-6,999",Oakland,City of Walled Lake,City,1.0,11/1962,0.795,,Yes,operating,0.9874,08/2014,0.9874,11/2024,No,operating,,,,,,
142,MI0360,Watervliet District Library,"Class 2: Serve 4,000-6,999",Berrien,Watervliet,District,0.5,August 2014,0.5,2024,No,operating,0.5,August 2020,0.5,2024,No,operating,,,,,,
143,MI0367,White Pigeon Township Library,"Class 2: Serve 4,000-6,999",St. Joseph,White Pigeon,Township,0.3,08-2020,0.3,08-2024,No,Operating,0.7,08-1997,0.6487,,Yes,Operating,,,,,,
144,MI0372,Aitkin Memorial District Library,"Class 3: Serve 7,000-11,999",Sanilac,City of Croswell,District,0.2,2020-03-10,0.2,2023-12-31,No,Operating,0.79,2016-08-02,0.79,2026-12-31,No,Operating,,,,,,
145,MI0407,Alanson Area Public Library,"Class 3: Serve 7,000-11,999",Emmet,Littlefield,District,,,,,,,,,,,,,,,,,,
146,MI0408,Albion District Library,"Class 3: Serve 7,000-11,999",Calhoun,City of Albion,District,2.5,Aug 2016,2.5,Dec 2026,No,Operating,,,,,,,,,,,,
147,MI0409,Alcona County Library,"Class 3: Serve 7,000-11,999",Alcona,Harrisville,County,0.5,2018-08-07,0.5,2025-12-31,No,both,,,,,,,,,,,,
148,MI0412,Alma Public Library,"Class 3: Serve 7,000-11,999",Gratiot,Arcada,City,2.0,aug 2004,2.0,2024-08-30,No,debt,1.0,july 2011,1.0,0,Yes,operating,,,,,,
149,MI0010,Alvah N. Belding Memorial Library,"Class 3: Serve 7,000-11,999",Ionia,City of Belding,City,1.3,August 2016,1.2325,December 2028,No,operating,,,,,,,,,,,,
150,MI0016,Augusta-Ross Township District Library,"Class 3: Serve 7,000-11,999",Kalamazoo,Ross,District,0.5,Aug-18,0.5,Dec-27,No,Operating,,,,,,,,,,,,
151,MI9026,Bath Township Public Library,"Class 3: Serve 7,000-11,999",Clinton,Bath Township,Township,0.68,2018-11-11,0.68,2021-01-01,No,operating,,,,,,,,,,,,
152,MI0031,Berrien Springs Community Library,"Class 3: Serve 7,000-11,999",Berrien,Oronoko,District,1.0,2017-08-08,1.0,2026-12-31,No,Operating,,,,,,,,,,,,
153,MI0036,Blair Memorial Library,"Class 3: Serve 7,000-11,999",Oakland,City of Clawson,City,1.3333,May-11,1.2028,,Yes,Operating,0.52,May-09,0.52,July-19,No,Debt,,,,,,
154,MI0038,Boyne District Library,"Class 3: Serve 7,000-11,999",Charlevoix,"City of Boyne City, Evangeline, Eveline, Wilson and Bay",District,0.75,Aug 96,0.6367,,Yes,Operating,0.35,Aug 04,0.3329,,Yes,Operating,,,,,,
155,MI0045,Buchanan District Library,"Class 3: Serve 7,000-11,999",Berrien,City of Buchanan,District,0.9,2020-08-04,0.9,2030-08-06,No,Operating,0.3,2015-11-03,0.3,2024-08-06,No,Operating,,,,,,
156,MI0046,Bullard Sanford Memorial Library,"Class 3: Serve 7,000-11,999",Tuscola,City of Vassar,District,1.25,November 2018,1.25,November 2022,No,Operating,,,,,,,,,,,,
157,MI0050,Calumet Public School Library,"Class 3: Serve 7,000-11,999",Houghton,Calumet,School District,,,,,,,,,,,,,,,,,,
158,MI0168,Caro Area District Library,"Class 3: Serve 7,000-11,999",Tuscola,Indianfields,District,1.4909,2020-08-04,1.4909,2029-08-07,No,Operating,,,,,,,,,,,,
159,MI0054,Carson City Public Library,"Class 3: Serve 7,000-11,999",Montcalm,Bloomer,City,0.9,March 2020,0.9,March 2030,No,operating,,,,,,,,,,,,
160,MI0056,Cedar Springs Public Library,"Class 3: Serve 7,000-11,999",Kent,City of Cedar Springs,City,0.5,Nov-36,0.0,,Yes,Operating,1.0,June-04,0.8772,,Yes,Operating,,,,,,
161,MI0057,Center Line Public Library,"Class 3: Serve 7,000-11,999",Macomb,City of Center Line,City,,,,,,,,,,,,,,,,,,
162,MI0060,Charlevoix Public Library,"Class 3: Serve 7,000-11,999",Charlevoix,City of Charlevoix,District,0.5,June 97,0.4419,0,Yes,Operating,0.65,June 04,0.6309,12/31/24,No,Operating,0.75,June 04,0.7,June 24,No,Debt
163,MI0072,Coopersville Area District Library,"Class 3: Serve 7,000-11,999",Ottawa,City of Coopersville,District,0.6,Nov. 1994,0.5881,Perpituity,Yes,Operating,0.33,10/03/2015,0.28,2032,No,Debt,0.28,11/3/2015,0.28,2031,No,debt
164,MI0081,Delton District Library,"Class 3: Serve 7,000-11,999",Barry,"Barry, Hope, Prairieville",District,,,,,,,,,,,,,,,,,,
165,MI0086,Dorr Township Library,"Class 3: Serve 7,000-11,999",Allegan,Dorr,Township,0.2929,2020-03-10,0.2929,2029-12-31,No,Operating,0.3049,2020-03-10,0.3049,2020-12-31,No,Operating,,,,,,
166,MI0095,Eau Claire District Library,"Class 3: Serve 7,000-11,999",Berrien,Berrien,District,0.75,Aug 2016,0.75,Aug 2035,No,Operating,,,,,,,,,,,,
167,MI9021,Ecorse Public Library,"Class 3: Serve 7,000-11,999",Wayne,,City,0.2456,1990,0.2456,,Yes,Operating,1.0,2015,1.0,,Yes,Operating,,,,,,
168,MI0102,Evart Public Library,"Class 3: Serve 7,000-11,999",Osceola,City of Evart,District,1.0,April 1952,4.0,perpetuity,Yes,operating,,,,,,,,,,,,
169,MI0177,Frankenmuth James E. Wickson District Library,"Class 3: Serve 7,000-11,999",Saginaw,Frankenmuth,District,0.85,November 2008,0.8493,perpetuity,Yes,operating,,,,,,,,,,,,
170,MI0119,Galesburg-Charleston Memorial District Library,"Class 3: Serve 7,000-11,999",Kalamazoo,Charleston,District,1.3,08/2018,1.3,2028-12-31,No,Operating,,,,,,,,,,,,
171,MI0162,Gary Byker Memorial Library of Hudsonville,"Class 3: Serve 7,000-11,999",Ottawa,City of Hudsonville,City,0.3,Aug 2004,0.3,Jul 2026,No,Operating,,,,,,,,,,,,
172,MI0126,Gladstone School & Public Library,"Class 3: Serve 7,000-11,999",Delta,City of Gladstone,School District,,,,,,,,,,,,,,,,,,
173,MI0132,Grant Area District Library,"Class 3: Serve 7,000-11,999",Newaygo,City of Grant,District,0.935,06/2002,0.845,122001,Yes,operating,0.6553,06/02,0.5614,12/2026,No,debt,0.75,8/2016,0.737,12/2027,No,operating
174,MI0143,Hart Area Public Library,"Class 3: Serve 7,000-11,999",Oceana,City of Hart,District,2.0,Apr-99,1.9578,81999,Yes,both,,,,,,,,,,,,
175,MI0148,Henika District Library,"Class 3: Serve 7,000-11,999",Allegan,Wayland Township,District,1.5,July 1999,1.3643,None,Yes,Operating,,,,,,,,,,,,
176,MI0232,Hillsdale Community Library,"Class 3: Serve 7,000-11,999",Hillsdale,City of Hillsdale,City,1.0,09/2001,0.9947,,Yes,Both,,,,,,,,,,,,
177,MI0163,Huntington Woods Public Library,"Class 3: Serve 7,000-11,999",Oakland,City of Huntington Woods,City,,,,,,,,,,,,,,,,,,
178,MI0186,Laingsburg Public Library,"Class 3: Serve 7,000-11,999",Shiawassee,City of Laingsburg,City,,,,,,,,,,,,,,,,,,
179,MI0184,L'Anse Area School-Public Library,"Class 3: Serve 7,000-11,999",Baraga,L'Anse,School District,,,,,,,,,,,,,,,,,,
180,MI0196,Lenox Township Library,"Class 3: Serve 7,000-11,999",Macomb,Lenox,Township,1.0,AUG 88,1.0,0,Yes,Both,0.3,Nov 94,0.29,0,Yes,Both,,,,,,
181,MI0290,Lois Wagner Memorial Library,"Class 3: Serve 7,000-11,999",Macomb,,City,,,,,,,,,,,,,,,,,,
182,MI0212,Manchester District Library,"Class 3: Serve 7,000-11,999",Washtenaw,Manchester,District,1.0452,Nov. 2014,1.0452,Dec. 2024,No,operating,,,,,,,,,,,,
183,MI0214,Manistique School & Public Library,"Class 3: Serve 7,000-11,999",Schoolcraft,City of Manistique,School District,,,,,,,,,,,,,,,,,,
184,MI9018,Melvindale Public Library,"Class 3: Serve 7,000-11,999",Wayne,,City,0.9701,,0.9701,,Yes,Operating,,,,,,,,,,,,
185,MI0230,Millington Arbela District Library,"Class 3: Serve 7,000-11,999",Tuscola,Millington,District,1.0,2014,0.9848,2023,No,Operating,,,,,,,,,,,,
186,MI0234,Montmorency County Public Libraries,"Class 3: Serve 7,000-11,999",Montmorency,Briley,County,0.6,aug 16,0.6,2021-12-31,No,operating,,,,,,,,,,,,
187,MI0239,Munising School Public Library,"Class 3: Serve 7,000-11,999",Alger,Munising City,School District,,,,,,,,,,,,,,,,,,
188,MI0241,Negaunee Public Library,"Class 3: Serve 7,000-11,999",Marquette,City of Negaunee,City,,,,,,,,,,,,,,,,,,
189,MI0379,Northfield Township Area Library,"Class 3: Serve 7,000-11,999",Washtenaw,Northfield,Township,1.0,Aug 1994,0.8222,,Yes,Operating,0.5,Aug 1996,0.4133,0,Yes,Both,,,,,,
190,MI0257,Oscoda County Library,"Class 3: Serve 7,000-11,999",Oscoda,Big Creek,County,0.5,August 2020,0.5,12/31/2021,No,both,,,,,,,,,,,,
191,MI0263,Parchment Community Library,"Class 3: Serve 7,000-11,999",Kalamazoo,City of Parchment,District,2.0,Jun-02,1.9908,62004,Yes,Operating,,,,,,,,,,,,
192,MI9012,Patmos Library,"Class 3: Serve 7,000-11,999",Ottawa,Jamestown,Township,0.5,Dec-13,0.4591,Dec-22,No,operating,,,,,,,,,,,,
193,MI0122,Pere Marquette District Library,"Class 3: Serve 7,000-11,999",Clare,City of Clare,District,1.0,May 05,0.9923,perpetuity,Yes,both,,,,,,,,,,,,
194,MI0271,Pinckney Community Public Library,"Class 3: Serve 7,000-11,999",Livingston,Putnam,District,1.422,August 2014,1.422,December 2020,No,Operating,0.5857,February 2011,0.5857,December 2040,No,OperatingBoth,,,,,,
195,MI0282,Rawson Memorial Library,"Class 3: Serve 7,000-11,999",Tuscola,Elkland,District,0.75,Aug 2012,0.75,Dec 2024,No,Operating,0.35,Aug 2018,0.35,Dec 2022,No,Operating,,,,,,
196,MI0284,Reed City Area District Library,"Class 3: Serve 7,000-11,999",Osceola,City of Reed City,District,0.95,11/4/14,0.95,12/31/23,No,Operating,,,,,,,,,,,,
197,MI0288,Richland Community Library,"Class 3: Serve 7,000-11,999",Kalamazoo,Richland,District,1.0,Aug-81,0.8,,Yes,Operating,0.8172,Sept-01,0.17,Sept-21,No,Debt,0.13,0,0.0,0,No,
198,MI9019,River Rouge Public Library,"Class 3: Serve 7,000-11,999",Wayne,,City,0.8,7/1/09,0.8,,Yes,,,,,,,,,,,,,
199,MI0165,Ruth Hughes Memorial District Library,"Class 3: Serve 7,000-11,999",Lapeer,Imlay,District,1.1,2018-08-07,1.0838,2028-12-31,No,Operating,,,,,,,,,,,,
200,MI0320,Saint Charles District Library,"Class 3: Serve 7,000-11,999",Saginaw,Saint Charles,District,0.8,November 1990,0.7233,Unlimited,Yes,Operating,0.0756,2018-11-06,0.0757,unlimited,Yes,Operating,,,,,,
201,MI0423,Salem Township Library,"Class 3: Serve 7,000-11,999",Allegan,Salem,Township,0.4,June 1996,0.4,,Yes,Both,,,,,,,,,,,,
202,MI0301,Sandusky District Library,"Class 3: Serve 7,000-11,999",Sanilac,City of Sandusky,District,1.0,June 1998,0.9701,,Yes,Operating,0.2,032020,0.2,032023,No,Operating,,,,,,
203,MI0303,Saranac Public Library,"Class 3: Serve 7,000-11,999",Ionia,Boston,District,1.0058,Mar-74,1.0058,2027-12-31,No,both,1.0058,2016,1.0058,Dec 2027,No,Operating,,,,,,
204,MI0428,Schultz-Holmes Memorial Library,"Class 3: Serve 7,000-11,999",Lenawee,Blissfield,Village,,,,,,,,,,,,,,,,,,
205,MI0309,Shelby Area District Library,"Class 3: Serve 7,000-11,999",Oceana,Shelby,District,1.5,April 1994,1.442,,Yes,Operating,,,,,,,,,,,,
206,MI0314,South Haven Memorial Library,"Class 3: Serve 7,000-11,999",Van Buren,South Haven,City,0.99,Jan-59,0.59,,Yes,Operating,0.25,May-2017,0.25,May-2057,No,Building Project,,,,,,
207,MI0317,Sparta Carnegie Township Library,"Class 3: Serve 7,000-11,999",Kent,Sparta,Township,0.25,Aug 2016,0.25,Aug 2025,No,Operating,,,,,,,,,,,,
208,MI0318,Spies Public Library,"Class 3: Serve 7,000-11,999",Menominee,Menominee,City,0.9892,May 2020,0.9892,June 2021,No,Operating,,,,,,,,,,,,
209,MI0328,Surrey Township Public Library,"Class 3: Serve 7,000-11,999",Clare,Surrey,Township,1.7,9/11/2001,1.6399,,Yes,Operating,,,,,,,,,,,,
210,MI0330,Tahquamenon Area Public Library,"Class 3: Serve 7,000-11,999",Luce,McMillan,School District,0.4973,Nov-20,0.4973,Dec-21,No,Operating,,,,,,,,,,,,
211,MI0331,Tamarack District Library,"Class 3: Serve 7,000-11,999",Montcalm,Cato,District,0.9,2020,0.9,2020,Yes,Operating,0.4,2006,0.3874,none,Yes,operating,0.42,2006,0.42,2037,No,Debt
212,MI0335,Theodore A. Cutler Memorial Library,"Class 3: Serve 7,000-11,999",Gratiot,City of Saint Louis,City,0.5,Aug 2014,0.4994,Jul 2022,No,Operating,,,,,,,,,,,,
213,MI0336,Thomas Township Library,"Class 3: Serve 7,000-11,999",Saginaw,Thomas,Township,0.4,8-2008,0.04,1-1-2028,No,operating,0.4,8-2012,0.4,1-1-2022,No,operating,,,,,,
214,MI0337,Thompson Home Public Library,"Class 3: Serve 7,000-11,999",Gratiot,City of Ithaca,City,0.5,August 2014,0.5,2022,No,Operating,,,,,,,,,,,,
215,MI0286,Timothy C. Hauenstein Reynolds Township Library,"Class 3: Serve 7,000-11,999",Montcalm,Reynolds,Township,1.0,Apr 1955,0.8351,.,Yes,operating,0.9,dec 2020,0.8351,mar 2029,No,operating,,,,,,
216,MI0354,Walton Erickson Public Library,"Class 3: Serve 7,000-11,999",Mecosta,Deerfield,School District,,,,,,,,,,,,,,,,,,
217,MI0363,West Branch District Library,"Class 3: Serve 7,000-11,999",Ogemaw,City of West Branch,District,0.4,2018-08-07,0.4,2021-12-31,No,Operating,,,,,,,,,,,,
218,MI0364,West Iron District Library,"Class 3: Serve 7,000-11,999",Iron,City of Iron River,District,1.75,FEB. 14,1.75,dec.2024,No,operating,,,,,,,,,,,,
219,MI0091,White Cloud Community Library,"Class 3: Serve 7,000-11,999",Newaygo,,District,1.2634,Jan-99,1.2769,,Yes,operating,,,,,,,,,,,,
220,MI0370,White Lake Community Library,"Class 3: Serve 7,000-11,999",Muskegon,City of Whitehall,District,0.7,Apr 99,0.6797,,Yes,Operating,0.25,August 2020,0.25,December 2029,No,Operating,,,,,,
221,MI0368,White Pine District Library,"Class 3: Serve 7,000-11,999",Montcalm,Sidney,District,0.9,Aug. 2020,0.9,Aug. 2029,No,Operating,,,,,,,,,,,,
222,MI0406,Adrian District Library,"Class 4: Serve 12,000-25,999",Lenawee,City of Adrian,District,2.5,05/2015,2.5,2025,No,Operating,,,,,,,,,,,,
223,MI0410,Allegan District Library,"Class 4: Serve 12,000-25,999",Allegan,City of Allegan,District,0.8488,Aug 10,0.8488,Dec 19,No,Operating,0.9487,Aug 16,0.9487,Dec 2045,No,Both,,,,,,
224,MI0015,Auburn Hills Public Library,"Class 4: Serve 12,000-25,999",Oakland,City of Auburn Hills,City,1.0,November 1984,0.7041,,Yes,operating,,,,,,,,,,,,
225,MI0017,Bacon Memorial District Library,"Class 4: Serve 12,000-25,999",Wayne,City of Wyandotte,District,1.6,Jun-94,1.5362,,Yes,Operating,,,,,,,,,,,,
226,MI0027,Benton Harbor Public Library,"Class 4: Serve 12,000-25,999",Berrien,Benton,City,2.0,Nov-11,2.0,Dec-22,No,Operating,1.0,Apr-45,0.0,,Yes,Operating,,,,,,
227,MI0030,Berkley Public Library,"Class 4: Serve 12,000-25,999",Oakland,City of Berkley,City,,,,,,,,,,,,,,,,,,
228,MI0035,Big Rapids Community Library,"Class 4: Serve 12,000-25,999",Mecosta,,City,,,,,,,,,,,,,,,,,,
229,MI0040,Brandon Township Public Library,"Class 4: Serve 12,000-25,999",Oakland,Brandon,Township,1.0,Sept 1987,0.7078,,Yes,Operating,1.0,1996,0.1504,2018,Yes,Operating,1.0,June 1996,0.8872,,Yes,Operating
230,MI0041,Bridgeport Public Library,"Class 4: Serve 12,000-25,999",Saginaw,Bridgeport,Township,1.5,8/2020,1.5,8/2025,No,Operating,,,,,,,,,,,,
231,MI0026,Briggs District Library,"Class 4: Serve 12,000-25,999",Clinton,Bingham,District,0.7476,Dec. 2016,0.7476,Dec. 2025,No,Operating,,,,,,,,,,,,
232,MI0059,Charles A. Ransom District Library,"Class 4: Serve 12,000-25,999",Allegan,"Gun Plain, Cooper, Plainwell",District,1.0,Feb-1991,0.9159,Feb-1991,Yes,Operating,0.6,Aug-2014,0.5989,Aug-2024,No,Operating,0.85,Aug-2019,0.85,2043,No,Debt
233,MI0061,Charlotte Community Library,"Class 4: Serve 12,000-25,999",Eaton,City of Charlotte,District,1.4,Aug-2016,1.4,Dec-2027,No,Operating,,,,,,,,,,,,
234,MI0063,Cheboygan Area Public Library,"Class 4: Serve 12,000-25,999",Cheboygan,City of Cheboygan,District,0.75,Feb 95,0.644,,Yes,Operating,0.377,Jun 04,0.377,Jun 23,No,Debt,0.1025,May 10,0.1019,,Yes,Operating
235,MI0223,Chelsea District Library,"Class 4: Serve 12,000-25,999",Washtenaw,,District,1.9231,Aug-19,1.9144,Dec-29,No,Operating,0.6,May-04,0.6,Dec-23,No,Debt,,,,,,
236,MI0067,Coloma Public Library,"Class 4: Serve 12,000-25,999",Berrien,Coloma,District,1.45,5-31-02,0.92,2021,No,Debt,1.0,5-31-02,0.8966,2021,No,Operating,,,,,,
237,MI0070,Comstock Township Library,"Class 4: Serve 12,000-25,999",Kalamazoo,Comstock,Township,1.4854,11/94,1.4854,,Yes,Operating,,,,,,,,,,,,
238,MI0074,Crawford County Library,"Class 4: Serve 12,000-25,999",Crawford,City of Grayling,County,0.4458,8/2020,0.4458,12/2027,No,Operating,0.4838,8/2018,0.35,8/2033,No,Debt,,,,,,
239,MI0106,DeWitt District Library,"Class 4: Serve 12,000-25,999",Clinton,DeWitt,District,0.9998,Aug 2014,0.9818,Aug 2028,No,Operating,,,,,,,,,,,,
240,MI0084,Dexter District Library,"Class 4: Serve 12,000-25,999",Washtenaw,Scio,District,0.5,June 1994,0.4235,,Yes,Operating,0.7,2016-11-07,0.6726,2023-01-01,No,Operating,0.41,Nov 2005,0.41,Dec 2024,No,Debt
241,MI0087,Dowagiac District Library,"Class 4: Serve 12,000-25,999",Cass,City of Dowagiac,District,0.75,Mar-04,0.7069,,Yes,operating,1.0,2018-11-06,1.0,12/31/2037,No,both,,,,,,
242,MI0094,Eaton Rapids Area District Library,"Class 4: Serve 12,000-25,999",Eaton,City of Eaton Rapids,District,1.0,11/2018,0.9983,2027,No,Operating,,,,,,,,,,,,
243,MI0101,Escanaba Public Library,"Class 4: Serve 12,000-25,999",Delta,City of Escanaba,City,,,,,,,,,,,,,,,,,,
244,MI0107,Fennville District Library,"Class 4: Serve 12,000-25,999",Allegan,Manlius,District,0.6,Aug 12,0.6,Dec 21,No,Operating,,,,,,,,,,,,
245,MI0108,Ferndale Area District Library,"Class 4: Serve 12,000-25,999",Oakland,City of Ferndale,District,3.5,August 2016,3.1,2027-06-30,No,Operating,,,,,,,,,,,,
246,MI0133,Flat River Community Library,"Class 4: Serve 12,000-25,999",Montcalm,,District,0.75,5/6/1997,0.7254,PERP,Yes,Operating,0.5,08/2010,0.5,12/2019,No,Operating,,,,,,
247,MI0421,Flat Rock Public Library,"Class 4: Serve 12,000-25,999",Wayne,City of Flat Rock,City,1.0,12/1994,1.0,,Yes,Operating,0.5,2014-07-07,0.0,6/30/2019,No,Operating,,,,,,
248,MI0113,Fowlerville District Library,"Class 4: Serve 12,000-25,999",Livingston,Handy,District,1.0,Nov-12,1.0,Nov-22,No,Both,0.5,Jul-94,0.0,0,Yes,Both,,,,,,
249,MI0116,Fraser Public Library,"Class 4: Serve 12,000-25,999",Macomb,City of Fraser,City,1.0,4/1963,0.9924,,Yes,Operating,,,,,,,,,,,,
250,MI0118,Fremont Area District Library,"Class 4: Serve 12,000-25,999",Newaygo,City of Fremont,District,1.5,Sep-97,1.4497,,Yes,Operating,1.25,Dec-2020,1.25,Dec-2029,No,Operating,,,,,,
251,MI9022,Fruitport District Library,"Class 4: Serve 12,000-25,999",Muskegon,Fruitport,District,0.75,11/2018,0.75,12/2028,No,Operating,,,,,,,,,,,,
252,MI0127,Gladwin County District Library,"Class 4: Serve 12,000-25,999",Gladwin,Gladwin,District,0.5,2016-08,0.4965,2025,No,Operating,,,,,,,,,,,,
253,MI0130,Grand Ledge Area District Library,"Class 4: Serve 12,000-25,999",Eaton,City of Grand Ledge,District,1.2,8/2010,1.1505,12/2021,No,Operating,,,,,,,,,,,,
254,MI0137,Hamburg Township Library,"Class 4: Serve 12,000-25,999",Livingston,Hamburg,Township,0.8,August 2014,0.7787,August 2021,No,Operating,,,,,,,,,,,,
255,MI0138,Hamtramck Public Library,"Class 4: Serve 12,000-25,999",Wayne,City of Hamtramck,City,0.8,1991,1.0,permanent,Yes,both,1.0,sept 2003,1.0,permanent,Yes,both,,,,,,
256,MI0141,Harper Woods Public Library,"Class 4: Serve 12,000-25,999",Wayne,City of Harper Woods,City,1.0,01/1965,0.9039,,Yes,Operating,0.5,11/2003,0.5,01/2024,No,Debt,1.0,11/2016,1.0,11/2023,No,Operating
257,MI0142,Harrison District Library,"Class 4: Serve 12,000-25,999",Clare,City of Harrison,District,0.95,August 2020,0.948,August 2030,No,,,,,,,,,,,,,
258,MI0435,Harrison Township Public Library,"Class 4: Serve 12,000-25,999",Macomb,Harrison Township,Township,0.5,08/05/2014,0.4858,08/04/2024,No,Operating,,,,,,,,,,,,
259,MI0145,Hastings Public Library,"Class 4: Serve 12,000-25,999",Barry,City of Hastings,City,1.6,Aug-18,1.6,Aug-28,No,Operating,1.6,May-19,1.6,Aug-28,No,Operating,,,,,,
260,MI0146,Hazel Park Memorial District Library,"Class 4: Serve 12,000-25,999",Oakland,City of Hazel Park,District,1.8,Aug-94,1.51,,Yes,Operating,0.48,Nov-11,0.48,,Yes,Operating,0.5,2016-08-02,0.5,2026-08-02,No,Operating
261,MI0152,Highland Township Public Library,"Class 4: Serve 12,000-25,999",Oakland,Highland,Township,1.0,.25 charter and a .75 millage which had a Aug. 1994 renewal,0.6746,,Yes,operating,0.25,August 1994 increase,0.2154,11/2010,Yes,operating,0.7127,2018-08-07,0.7055,2028,No,operating
262,MI0153,Holly Township Library,"Class 4: Serve 12,000-25,999",Oakland,Holly,Township,1.0,08/04/2020,0.9829,12/31/2025,No,Operating,,,,,,,,,,,,
