,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
1749,3,SENIOR,0,0,65 to 74 years,N4,Noe Valley/Sally Brunn,None,None,z,email,True,2014,True,0.0
50903,3,SENIOR,1,1,65 to 74 years,P7,Potrero,May,2015,p,phone,False,2015,False,10.0
82186,0,ADULT,828,276,35 to 44 years,M4,Merced,March,2016,z,email,True,2006,False,7.0
103123,0,ADULT,16,0,35 to 44 years,P7,Potrero,May,2015,p,phone,True,2008,False,9.0
61787,0,ADULT,167,117,35 to 44 years,G4,Glen Park,October,2010,z,email,True,2003,False,0.0
34012,0,ADULT,28,8,25 to 34 years,M8,Mission Bay,December,2013,z,email,True,2010,False,3.0
297652,0,ADULT,192,8,45 to 54 years,W2,West Portal,July,2014,z,email,True,2009,False,7.0
322444,1,JUVENILE,889,52,0 to 9 years,S7,Sunset,July,2016,z,email,True,2012,False,4.0
141781,0,ADULT,274,1,60 to 64 years,X,Main Library,March,2016,p,phone,False,2008,False,0.0
406047,1,JUVENILE,2,0,0 to 9 years,I5,Ingleside,August,2012,z,email,True,2012,False,11.0
115586,0,ADULT,0,0,35 to 44 years,O7,Ortega,None,None,z,email,True,2013,False,8.0
36417,0,ADULT,117,60,55 to 59 years,W2,West Portal,January,2015,z,email,True,2003,False,7.0
368257,1,JUVENILE,18,0,0 to 9 years,C2,Chinatown,June,2016,z,email,True,2015,False,3.0
341778,1,JUVENILE,1668,1378,0 to 9 years,W2,West Portal,July,2016,z,email,True,2008,False,7.0
197526,0,ADULT,646,162,60 to 64 years,C2,Chinatown,July,2016,p,phone,False,2003,False,8.0
253586,0,ADULT,3,0,25 to 34 years,M6,Mission,August,2012,z,email,True,2012,False,0.0
263515,0,ADULT,397,71,45 to 54 years,W4,Western Addition,July,2016,z,email,True,2008,False,5.0
349741,0,ADULT,79,18,10 to 19 years,X,Main Library,February,2016,z,email,True,2009,False,0.0
149947,0,ADULT,0,0,20 to 24 years,S7,Sunset,None,None,z,email,True,2013,True,0.0
285610,0,ADULT,150,216,35 to 44 years,X,Main Library,July,2016,z,email,True,2003,False,3.0
335527,1,JUVENILE,0,0,0 to 9 years,M4,Merced,None,None,z,email,True,2015,True,0.0
251071,0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,z,email,True,2016,True,0.0
159580,0,ADULT,88,1,45 to 54 years,B4,Bernal Heights,June,2014,z,email,True,2005,False,9.0
98340,0,ADULT,321,15,55 to 59 years,W2,West Portal,November,2015,z,email,True,2010,False,7.0
64703,0,ADULT,2,0,25 to 34 years,X,Main Library,September,2015,z,email,True,2015,False,5.0
179486,3,SENIOR,0,0,65 to 74 years,X,Main Library,None,None,a,print,False,2013,False,6.0
161829,0,ADULT,0,0,25 to 34 years,M8,Mission Bay,None,None,z,email,True,2015,False,0.0
252818,0,ADULT,0,0,55 to 59 years,X,Main Library,None,None,z,email,True,2014,True,0.0
15392,0,ADULT,21,2,35 to 44 years,M8,Mission Bay,July,2016,z,email,True,2014,True,0.0
412147,1,JUVENILE,40,0,0 to 9 years,P9,Presidio,September,2014,z,email,True,2011,False,2.0
160284,0,ADULT,286,57,45 to 54 years,P9,Presidio,December,2014,z,email,True,2003,False,2.0
284286,0,ADULT,0,0,25 to 34 years,S7,Sunset,None,None,z,email,True,2013,False,5.0
61451,0,ADULT,83,18,20 to 24 years,N6,North Beach,April,2016,a,print,False,2006,False,7.0
168750,0,ADULT,2,0,25 to 34 years,M8,Mission Bay,January,2011,z,email,True,2010,False,10.0
46326,0,ADULT,0,0,20 to 24 years,M4,Merced,January,2016,z,email,True,2015,False,7.0
233058,0,ADULT,0,0,25 to 34 years,X,Main Library,October,2015,z,email,True,2014,False,3.0
121572,0,ADULT,7,12,25 to 34 years,P9,Presidio,April,2016,z,email,True,2015,False,5.0
130874,4,WELCOME,1,0,20 to 24 years,W2,West Portal,June,2015,z,email,True,2015,False,4.0
76329,0,ADULT,86,200,35 to 44 years,N6,North Beach,February,2016,z,email,True,2009,False,3.0
415898,2,YOUNG ADULT,978,12,10 to 19 years,R3,Richmond,July,2016,a,print,False,2012,False,1.0
121751,0,ADULT,416,307,35 to 44 years,X,Main Library,November,2013,p,phone,False,2003,False,0.0
49283,0,ADULT,3,0,20 to 24 years,M8,Mission Bay,May,2015,z,email,True,2015,True,0.0
166518,0,ADULT,533,619,45 to 54 years,P9,Presidio,July,2016,z,email,True,2003,False,2.0
244409,0,ADULT,8,6,25 to 34 years,X,Main Library,June,2015,z,email,True,2013,False,6.0
416935,3,SENIOR,1,0,75 years and over,X,Main Library,June,2014,p,phone,False,2014,True,0.0
67783,0,ADULT,6,13,25 to 34 years,R3,Richmond,March,2014,z,email,True,2012,False,1.0
387676,1,JUVENILE,79,9,0 to 9 years,W2,West Portal,May,2016,z,email,True,2015,False,7.0
253793,0,ADULT,1,0,20 to 24 years,X,Main Library,April,2015,z,email,True,2011,False,11.0
395483,2,YOUNG ADULT,575,88,10 to 19 years,O7,Ortega,July,2016,z,email,True,2007,False,11.0
296401,0,ADULT,94,9,20 to 24 years,W2,West Portal,December,2014,z,email,True,2003,False,4.0
186945,0,ADULT,61,11,45 to 54 years,M4,Merced,February,2016,z,email,True,2012,True,0.0
162591,0,ADULT,4,2,45 to 54 years,P7,Potrero,July,2015,z,email,True,2012,False,10.0
314733,1,JUVENILE,6,0,10 to 19 years,E9,Excelsior,April,2015,z,email,True,2008,False,11.0
378259,0,ADULT,0,0,65 to 74 years,W4,Western Addition,None,None,z,email,True,2014,False,4.0
118118,0,ADULT,2,0,20 to 24 years,M6,Mission,April,2016,z,email,True,2016,True,0.0
280421,0,ADULT,6,5,25 to 34 years,G6,Golden Gate Valley,July,2016,z,email,True,2014,False,2.0
28326,0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,True,2013,False,0.0
241038,0,ADULT,2,0,35 to 44 years,I5,Ingleside,May,2016,z,email,True,2015,False,11.0
300531,3,SENIOR,384,36,65 to 74 years,O7,Ortega,July,2016,z,email,True,2008,False,4.0
288324,0,ADULT,0,0,35 to 44 years,X,Main Library,None,None,z,email,True,2011,False,10.0
326187,1,JUVENILE,564,184,10 to 19 years,R3,Richmond,July,2016,z,email,True,2006,False,4.0
214010,0,ADULT,4,0,25 to 34 years,P3,Parkside,May,2016,z,email,True,2015,False,4.0
241579,0,ADULT,1,0,45 to 54 years,X,Main Library,October,2015,z,email,True,2015,True,0.0
398686,2,YOUNG ADULT,12,0,10 to 19 years,P5,Portola,July,2016,p,phone,False,2007,False,9.0
155298,0,ADULT,26,8,25 to 34 years,P5,Portola,October,2013,z,email,True,2003,False,10.0
48114,4,WELCOME,1,0,25 to 34 years,P7,Potrero,February,2016,z,email,True,2016,False,10.0
204831,0,ADULT,3,3,35 to 44 years,M4,Merced,March,2015,z,email,True,2014,True,0.0
87961,0,ADULT,458,109,45 to 54 years,M2,Marina,July,2016,z,email,True,2004,False,2.0
347910,2,YOUNG ADULT,0,0,10 to 19 years,W2,West Portal,None,None,z,email,True,2015,True,0.0
288881,0,ADULT,38,83,45 to 54 years,X,Main Library,July,2016,z,email,True,2004,False,5.0
235192,0,ADULT,350,345,25 to 34 years,P9,Presidio,August,2013,z,email,True,2003,False,2.0
301022,3,SENIOR,300,29,65 to 74 years,E9,Excelsior,July,2016,z,email,True,2003,False,9.0
385651,0,ADULT,20,13,55 to 59 years,S7,Sunset,November,2014,p,phone,False,2008,False,9.0
176637,0,ADULT,96,150,45 to 54 years,R3,Richmond,July,2016,z,email,True,2010,False,1.0
174143,0,ADULT,12,3,35 to 44 years,X,Main Library,January,2016,z,email,True,2012,False,5.0
3516,0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,True,2013,False,2.0
417346,1,JUVENILE,16,0,0 to 9 years,G4,Glen Park,August,2015,a,print,False,2015,False,11.0
311944,0,ADULT,3,8,20 to 24 years,E9,Excelsior,October,2015,p,phone,True,2014,False,11.0
308416,1,JUVENILE,41,11,10 to 19 years,O7,Ortega,November,2013,z,email,True,2007,True,0.0
287679,3,SENIOR,0,0,65 to 74 years,B4,Bernal Heights,None,None,z,email,True,2014,False,9.0
257371,0,ADULT,1,0,35 to 44 years,X,Main Library,March,2013,z,email,True,2013,False,0.0
191094,0,ADULT,8,4,25 to 34 years,M8,Mission Bay,July,2014,z,email,True,2013,False,4.0
422733,3,SENIOR,1107,223,75 years and over,E9,Excelsior,May,2016,z,email,True,2003,False,11.0
413650,1,JUVENILE,15,18,10 to 19 years,R3,Richmond,August,2014,z,email,True,2009,False,1.0
122229,0,ADULT,3,0,25 to 34 years,P7,Potrero,August,2013,z,email,True,2013,True,0.0
422817,1,JUVENILE,18,1,0 to 9 years,B4,Bernal Heights,May,2016,z,email,True,2016,False,0.0
94297,0,ADULT,25,1,45 to 54 years,R3,Richmond,April,2016,z,email,True,2003,False,0.0
24709,0,ADULT,1,4,25 to 34 years,X,Main Library,December,2015,p,phone,False,2012,False,0.0
328682,4,WELCOME,0,0,10 to 19 years,X,Main Library,None,None,z,email,True,2015,False,6.0
379333,3,SENIOR,45,7,75 years and over,W4,Western Addition,October,2014,z,email,True,2003,False,2.0
338563,1,JUVENILE,73,4,10 to 19 years,M6,Mission,June,2016,p,phone,False,2004,False,8.0
211209,0,ADULT,12,18,35 to 44 years,I5,Ingleside,June,2015,z,email,True,2012,False,7.0
94874,0,ADULT,655,301,35 to 44 years,A5,Anza,April,2013,z,email,True,2003,False,1.0
252973,4,WELCOME,1,1,25 to 34 years,X,Main Library,November,2014,z,email,True,2014,True,0.0
244713,0,ADULT,10,10,25 to 34 years,X,Main Library,April,2014,z,email,True,2012,False,6.0
406235,1,JUVENILE,98,26,0 to 9 years,O2,Ocean View,June,2016,z,email,True,2013,False,11.0
129179,0,ADULT,29,3,45 to 54 years,G6,Golden Gate Valley,July,2016,z,email,True,2016,False,2.0
158427,3,SENIOR,32,0,65 to 74 years,C2,Chinatown,March,2014,a,print,False,2003,False,5.0
326451,1,JUVENILE,209,0,0 to 9 years,M8,Mission Bay,July,2016,z,email,True,2015,False,0.0
32248,0,ADULT,217,93,45 to 54 years,E9,Excelsior,July,2016,z,email,True,2003,False,11.0
377822,2,YOUNG ADULT,5,0,10 to 19 years,P9,Presidio,November,2013,z,email,True,2013,False,2.0
120334,0,ADULT,3,5,55 to 59 years,P9,Presidio,July,2016,z,email,True,2011,False,0.0
344143,1,JUVENILE,63,12,0 to 9 years,R3,Richmond,July,2016,z,email,True,2009,False,1.0
87061,3,SENIOR,104,45,65 to 74 years,W2,West Portal,December,2015,z,email,True,2003,False,7.0
204640,0,ADULT,0,0,60 to 64 years,X,Main Library,None,None,z,email,True,2013,True,0.0
131156,3,SENIOR,68,37,65 to 74 years,X,Main Library,May,2009,z,email,True,2005,False,6.0
377824,1,JUVENILE,70,2,10 to 19 years,M8,Mission Bay,December,2014,p,phone,False,2012,False,0.0
111696,0,ADULT,557,275,20 to 24 years,S7,Sunset,March,2016,z,email,True,2006,False,7.0
174892,0,ADULT,193,38,35 to 44 years,N4,Noe Valley/Sally Brunn,September,2015,z,email,True,2007,True,0.0
170235,0,ADULT,32,0,25 to 34 years,X,Main Library,October,2013,z,email,True,2013,False,6.0
396240,1,JUVENILE,50,4,10 to 19 years,E9,Excelsior,March,2014,z,email,True,2010,False,11.0
193550,0,ADULT,67,10,60 to 64 years,X,Main Library,December,2014,p,phone,False,2003,False,2.0
342111,1,JUVENILE,284,28,0 to 9 years,R3,Richmond,July,2016,z,email,True,2015,False,11.0
241435,0,ADULT,53,2,60 to 64 years,B2,Bayview/Linda Brooks-Burton,September,2015,p,phone,False,2003,False,5.0
289962,0,ADULT,0,0,35 to 44 years,X,Main Library,None,None,z,email,True,2015,True,0.0
258384,0,ADULT,1,0,45 to 54 years,X,Main Library,November,2012,z,email,True,2012,True,0.0
401594,1,JUVENILE,67,5,0 to 9 years,M6,Mission,July,2016,p,phone,False,2012,False,9.0
375627,1,JUVENILE,101,0,0 to 9 years,X,Main Library,July,2016,z,email,True,2013,False,3.0
201969,0,ADULT,64,26,25 to 34 years,E9,Excelsior,February,2015,z,email,True,2009,False,10.0
246879,0,ADULT,167,62,35 to 44 years,B4,Bernal Heights,June,2015,z,email,True,2003,False,9.0
419616,2,YOUNG ADULT,0,0,10 to 19 years,X,Main Library,None,None,z,email,True,2014,True,0.0
364809,2,YOUNG ADULT,3730,516,10 to 19 years,P3,Parkside,June,2016,z,email,True,2008,False,4.0
363541,1,JUVENILE,8,12,10 to 19 years,X,Main Library,April,2015,z,email,True,2014,True,0.0
84262,0,ADULT,1,0,55 to 59 years,P5,Portola,January,2014,z,email,True,2014,False,9.0
58616,0,ADULT,102,75,45 to 54 years,O7,Ortega,July,2016,z,email,True,2003,False,4.0
135137,0,ADULT,153,18,25 to 34 years,R3,Richmond,May,2014,z,email,True,2009,False,1.0
306436,3,SENIOR,1933,44,75 years and over,R3,Richmond,July,2016,z,email,True,2003,False,0.0
185856,0,ADULT,33,10,45 to 54 years,M6,Mission,December,2012,z,email,True,2007,False,9.0
105287,0,ADULT,26,10,55 to 59 years,X,Main Library,February,2015,z,email,True,2003,False,3.0
343721,1,JUVENILE,233,80,10 to 19 years,C2,Chinatown,July,2016,z,email,True,2009,False,3.0
61568,0,ADULT,17,1,55 to 59 years,X,Main Library,May,2014,z,email,True,2010,False,6.0
140454,0,ADULT,11,0,20 to 24 years,X,Main Library,May,2014,z,email,True,2014,False,9.0
348941,2,YOUNG ADULT,13,0,10 to 19 years,B4,Bernal Heights,September,2013,p,phone,False,2010,False,0.0
85459,0,ADULT,0,0,20 to 24 years,X,Main Library,None,None,z,email,True,2014,False,9.0
178955,0,ADULT,1,1,25 to 34 years,M8,Mission Bay,September,2015,z,email,True,2015,False,6.0
42629,0,ADULT,1,3,25 to 34 years,N6,North Beach,November,2012,z,email,True,2012,False,3.0
370388,2,YOUNG ADULT,1,2,10 to 19 years,X,Main Library,August,2014,z,email,True,2014,True,0.0
37566,0,ADULT,9,0,25 to 34 years,X,Main Library,January,2016,z,email,True,2015,False,6.0
372598,2,YOUNG ADULT,62,2,10 to 19 years,W2,West Portal,January,2015,p,phone,False,2008,False,11.0
39634,3,SENIOR,3,0,65 to 74 years,X,Main Library,February,2006,p,phone,False,2003,False,5.0
118824,0,ADULT,9,25,20 to 24 years,R3,Richmond,August,2014,z,email,True,2013,False,1.0
142464,0,ADULT,22,0,35 to 44 years,E9,Excelsior,July,2010,z,email,True,2008,False,11.0
184403,0,ADULT,22,16,25 to 34 years,X,Main Library,May,2016,z,email,True,2014,False,5.0
24159,0,ADULT,680,52,55 to 59 years,W2,West Portal,July,2016,z,email,True,2003,False,7.0
286982,0,ADULT,0,0,20 to 24 years,X,Main Library,None,None,a,print,False,2015,False,5.0
167654,0,ADULT,0,0,20 to 24 years,X,Main Library,None,None,z,email,True,2015,True,0.0
106362,0,ADULT,0,0,60 to 64 years,M2,Marina,None,None,z,email,True,2011,False,2.0
126678,0,ADULT,76,94,25 to 34 years,I5,Ingleside,January,2014,p,phone,False,2010,False,7.0
83963,0,ADULT,108,252,35 to 44 years,X,Main Library,July,2016,z,email,True,2003,False,9.0
147103,0,ADULT,69,4,25 to 34 years,G4,Glen Park,May,2016,z,email,True,2013,False,8.0
113327,3,SENIOR,1,0,65 to 74 years,C2,Chinatown,December,2014,z,email,True,2007,False,6.0
375711,1,JUVENILE,4,0,10 to 19 years,P9,Presidio,November,2012,a,print,False,2012,False,4.0
91692,0,ADULT,15,7,60 to 64 years,R3,Richmond,November,2011,z,email,True,2010,False,7.0
281818,0,ADULT,62,11,25 to 34 years,P3,Parkside,March,2014,z,email,True,2010,False,0.0
271135,0,ADULT,154,4,25 to 34 years,G4,Glen Park,April,2016,z,email,True,2003,False,4.0
237771,0,ADULT,0,0,45 to 54 years,R3,Richmond,None,None,z,email,True,2012,False,1.0
251378,0,ADULT,11,1,20 to 24 years,B4,Bernal Heights,March,2016,z,email,True,2012,False,9.0
88751,0,ADULT,206,230,25 to 34 years,W4,Western Addition,March,2016,z,email,True,2010,False,0.0
90743,0,ADULT,4,0,55 to 59 years,X,Main Library,December,2013,z,email,True,2009,False,10.0
315508,1,JUVENILE,388,60,0 to 9 years,M4,Merced,June,2016,z,email,True,2014,False,7.0
240896,0,ADULT,0,0,55 to 59 years,X,Main Library,None,None,p,phone,False,2010,False,4.0
301243,0,ADULT,1,0,20 to 24 years,X,Main Library,August,2015,z,email,True,2015,True,0.0
220270,0,ADULT,7,17,35 to 44 years,W4,Western Addition,October,2013,a,print,False,2010,False,2.0
25376,0,ADULT,42,6,35 to 44 years,X,Main Library,September,2014,z,email,True,2013,False,0.0
266174,0,ADULT,0,0,25 to 34 years,M6,Mission,None,None,z,email,True,2015,False,0.0
262347,0,ADULT,41,23,25 to 34 years,X,Main Library,July,2016,z,email,True,2014,False,6.0
37289,0,ADULT,19,15,35 to 44 years,M8,Mission Bay,February,2015,z,email,True,2013,False,0.0
118763,0,ADULT,301,274,45 to 54 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,z,email,True,2003,False,4.0
290725,3,SENIOR,81,60,65 to 74 years,B4,Bernal Heights,November,2013,p,phone,False,2003,False,0.0
329327,1,JUVENILE,31,34,0 to 9 years,M4,Merced,July,2016,z,email,True,2016,False,7.0
405049,1,JUVENILE,10,0,10 to 19 years,P5,Portola,January,2016,a,print,False,2015,False,0.0
139939,3,SENIOR,12,0,65 to 74 years,X,Main Library,November,2015,z,email,True,2009,False,9.0
264888,0,ADULT,6,0,25 to 34 years,P1,Park,July,2016,a,print,False,2012,False,5.0
151774,0,ADULT,0,0,25 to 34 years,P9,Presidio,None,None,z,email,True,2014,False,2.0
195371,0,ADULT,43,15,35 to 44 years,X,Main Library,June,2014,z,email,True,2006,False,8.0
333680,2,YOUNG ADULT,28,0,10 to 19 years,E9,Excelsior,May,2015,p,phone,False,2008,False,11.0
355070,2,YOUNG ADULT,14,2,10 to 19 years,YJJ,Children's Bookmobile,August,2013,z,email,True,2006,False,1.0
312992,1,JUVENILE,17,0,0 to 9 years,I5,Ingleside,October,2015,z,email,True,2015,False,7.0
99321,0,ADULT,6,0,35 to 44 years,O7,Ortega,October,2012,z,email,True,2012,False,4.0
411069,1,JUVENILE,44,79,10 to 19 years,X,Main Library,April,2015,z,email,True,2012,False,5.0
344536,1,JUVENILE,18,0,0 to 9 years,P9,Presidio,August,2013,z,email,True,2008,False,2.0
305637,1,JUVENILE,106,21,0 to 9 years,X,Main Library,September,2014,z,email,True,2012,False,0.0
390617,3,SENIOR,10,0,75 years and over,R3,Richmond,June,2015,z,email,True,2013,False,4.0
159661,0,ADULT,0,0,20 to 24 years,R3,Richmond,None,None,z,email,True,2015,False,4.0
410278,2,YOUNG ADULT,102,1,10 to 19 years,W4,Western Addition,April,2016,p,phone,False,2006,False,5.0
167050,0,ADULT,120,1,55 to 59 years,X,Main Library,June,2016,p,phone,False,2003,False,5.0
231387,0,ADULT,9,9,25 to 34 years,X,Main Library,November,2015,z,email,True,2014,False,6.0
327041,1,JUVENILE,364,0,0 to 9 years,C2,Chinatown,July,2016,z,email,True,2013,False,6.0
161738,0,ADULT,1,3,25 to 34 years,B2,Bayview/Linda Brooks-Burton,July,2013,z,email,True,2010,True,0.0
24254,0,ADULT,10,5,35 to 44 years,G6,Golden Gate Valley,April,2015,z,email,True,2007,False,2.0
327382,1,JUVENILE,1,0,0 to 9 years,S7,Sunset,July,2013,z,email,True,2009,False,0.0
67155,0,ADULT,0,0,35 to 44 years,X,Main Library,None,None,z,email,True,2013,True,0.0
16611,0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,a,print,False,2013,False,6.0
199142,3,SENIOR,7,0,65 to 74 years,X,Main Library,February,2013,z,email,True,2003,False,7.0
320233,1,JUVENILE,232,112,0 to 9 years,I5,Ingleside,July,2016,z,email,True,2010,False,11.0
415889,2,YOUNG ADULT,5,1,10 to 19 years,M6,Mission,September,2013,p,phone,False,2008,True,10.0
242872,0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,z,email,True,2014,False,3.0
397159,3,SENIOR,1214,661,75 years and over,O7,Ortega,July,2016,p,phone,False,2007,False,4.0
374590,101,AT USER JUVENILE,18,0,0 to 9 years,X,Main Library,May,2015,z,email,True,2014,False,4.0
295578,0,ADULT,712,277,20 to 24 years,W2,West Portal,July,2013,z,email,True,2003,False,7.0
25307,0,ADULT,30,0,35 to 44 years,X,Main Library,June,2015,z,email,True,2013,False,10.0
27066,0,ADULT,60,15,45 to 54 years,X,Main Library,November,2013,p,phone,False,2003,False,6.0
209225,0,ADULT,182,43,25 to 34 years,X,Main Library,June,2015,z,email,True,2009,False,6.0
112392,0,ADULT,43,0,45 to 54 years,I5,Ingleside,June,2016,p,phone,False,2012,False,6.0
131489,0,ADULT,0,0,65 to 74 years,X,Main Library,None,None,p,phone,False,2011,False,0.0
113304,0,ADULT,9,20,25 to 34 years,X,Main Library,September,2013,z,email,True,2012,False,0.0
210873,0,ADULT,25,36,25 to 34 years,X,Main Library,June,2016,z,email,True,2010,False,10.0
362254,1,JUVENILE,328,0,10 to 19 years,X,Main Library,July,2014,z,email,True,2009,False,10.0
342873,1,JUVENILE,386,4,0 to 9 years,V3,Visitacion Valley,June,2016,p,phone,False,2013,False,10.0
289205,0,ADULT,2,0,25 to 34 years,S7,Sunset,December,2013,z,email,True,2013,False,5.0
41190,0,ADULT,0,0,25 to 34 years,I5,Ingleside,None,None,z,email,True,2014,False,7.0
206006,0,ADULT,53,44,25 to 34 years,P3,Parkside,June,2013,z,email,True,2003,False,4.0
165741,3,SENIOR,620,195,65 to 74 years,X,Main Library,July,2016,z,email,True,2003,False,2.0
257984,0,ADULT,62,74,35 to 44 years,G4,Glen Park,July,2016,z,email,True,2015,False,8.0
94995,0,ADULT,87,0,60 to 64 years,X,Main Library,July,2016,z,email,True,2015,False,8.0
291849,0,ADULT,795,95,55 to 59 years,X,Main Library,November,2015,p,phone,False,2003,False,6.0
397026,1,JUVENILE,55,1,0 to 9 years,X,Main Library,July,2016,z,email,True,2012,False,1.0
70209,3,SENIOR,1,0,65 to 74 years,S7,Sunset,January,2016,z,email,True,2015,False,7.0
180822,0,ADULT,556,142,55 to 59 years,M8,Mission Bay,July,2016,z,email,True,2005,False,6.0
408345,1,JUVENILE,22,2,0 to 9 years,M6,Mission,October,2015,p,phone,True,2014,True,0.0
327762,2,YOUNG ADULT,52,11,10 to 19 years,O7,Ortega,September,2013,z,email,True,2011,False,4.0
93452,0,ADULT,0,0,25 to 34 years,O7,Ortega,None,None,z,email,True,2015,False,4.0
300215,4,WELCOME,2,0,45 to 54 years,X,Main Library,November,2012,z,email,True,2012,False,0.0
128770,3,SENIOR,854,1090,65 to 74 years,S7,Sunset,July,2016,z,email,True,2003,False,1.0
391977,1,JUVENILE,459,162,10 to 19 years,X,Main Library,July,2016,p,phone,False,2008,False,11.0
4969,0,ADULT,100,100,45 to 54 years,S7,Sunset,November,2015,z,email,True,2003,False,4.0
3370,0,ADULT,0,0,60 to 64 years,M4,Merced,September,2015,z,email,True,2013,True,0.0
142786,0,ADULT,1,1,20 to 24 years,M4,Merced,May,2013,z,email,True,2013,True,0.0
341879,1,JUVENILE,240,28,10 to 19 years,O2,Ocean View,June,2015,p,phone,False,2010,False,11.0
293681,0,ADULT,427,374,45 to 54 years,M6,Mission,July,2016,p,phone,True,2003,False,0.0
233813,4,WELCOME,1,0,20 to 24 years,G4,Glen Park,February,2015,z,email,True,2015,False,8.0
39197,0,ADULT,1,0,25 to 34 years,X,Main Library,June,2014,z,email,True,2014,False,5.0
86299,0,ADULT,36,83,25 to 34 years,X,Main Library,May,2016,z,email,True,2005,True,0.0
280773,0,ADULT,7,0,35 to 44 years,B2,Bayview/Linda Brooks-Burton,May,2015,p,phone,False,2008,False,10.0
237414,0,ADULT,1,0,35 to 44 years,O7,Ortega,April,2013,z,email,True,2013,False,4.0
184263,0,ADULT,8,0,35 to 44 years,I5,Ingleside,July,2016,p,phone,True,2007,False,10.0
225300,0,ADULT,27,3,35 to 44 years,M2,Marina,January,2016,p,phone,False,2008,False,4.0
309979,2,YOUNG ADULT,555,249,10 to 19 years,C2,Chinatown,July,2016,p,phone,True,2013,False,10.0
117043,0,ADULT,0,0,45 to 54 years,X,Main Library,October,2007,z,email,True,2007,False,10.0
254115,0,ADULT,0,0,35 to 44 years,M8,Mission Bay,None,None,z,email,True,2016,False,6.0
321154,1,JUVENILE,81,17,10 to 19 years,X,Main Library,July,2016,z,email,True,2010,False,10.0
25966,3,SENIOR,803,353,65 to 74 years,M6,Mission,July,2016,z,email,True,2003,False,8.0
127183,0,ADULT,32,9,35 to 44 years,S7,Sunset,April,2013,z,email,True,2011,False,4.0
355791,1,JUVENILE,0,0,0 to 9 years,P1,Park,None,None,p,phone,True,2014,False,10.0
158035,0,ADULT,72,59,25 to 34 years,P9,Presidio,June,2015,z,email,True,2013,False,2.0
372451,2,YOUNG ADULT,397,85,10 to 19 years,P9,Presidio,February,2015,z,email,True,2005,False,2.0
398608,2,YOUNG ADULT,359,6,10 to 19 years,X,Main Library,May,2014,p,phone,False,2007,False,6.0
129015,4,WELCOME,0,0,45 to 54 years,X,Main Library,None,None,z,email,True,2016,False,6.0
316715,2,YOUNG ADULT,15,1,10 to 19 years,V3,Visitacion Valley,June,2016,p,phone,False,2016,False,10.0
35967,0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,z,email,True,2015,True,0.0
269397,0,ADULT,192,13,35 to 44 years,W2,West Portal,June,2016,z,email,True,2012,False,7.0
120658,0,ADULT,50,0,25 to 34 years,X,Main Library,March,2014,z,email,True,2010,False,5.0
196281,3,SENIOR,333,27,65 to 74 years,X,Main Library,May,2016,z,email,True,2004,False,8.0
